删除本地卡组失败：,删除牌組卡組失敗：,Failed to delete the local deck:,Échec de la suppression du Deck local :,Löschen des lokalen Decks fehlgeschlagen:,Errrore durante la cancellazione del Deck Locale:,Falha ao excluir Deck local:,No se pudo eliminar el Deck Local:,オフラインデッキ削除が失敗した：,오프라인 덱 삭제 실패：
卡组分组,牌組分組,Deck Grouping,Groupes de Decks,Deck Gruppen,Raggruppamento Deck,Grupo de Decks,Grupos de Decks,デッキ集,덱 그룹 관리
新建分组,新建分組,Create New Group,Créer un Groupe,Neue Gruppe erstellen,Crea nuovo gruppo,Criar Novo Grupo,Crear Nuevo Grupo,新規デッキ集,새 그룹 생성
删除分组,刪除分組,Delete Group,Supprimer un Groupe,Gruppe löschen,Elimina gruppo,Excluir Grupo,Eliminar Grupo,デッキ集を削除,그룹 삭제
移动到分组,移動到分組,Move to Group,Déplacer vers le Groupe,Zur Gruppe wechseln,Sposta nel gruppo,Mover ao Grupo,Mover al Grupo,デッキ集へ移動する,그룹으로 이동
重命名分组,重命名分組,Rename Group,Renommer le Groupe,Gruppe umbenennen,Rinomina gruppo,Renomear Grupo,Renombrar Grupo,デッキ集リネーム,그룹 이름 변경
复制到分组,複製到分組,Copy to Group,Copier vers le Groupe,In Gruppe kopieren,Copia nel gruppo,Copiar ao Grupo,Copiar al Grupo,デッキ集コーピ,그룹으로 복사
默认分组,默認分組,Default Group,Groupe par défaut,Standardgruppe,Gruppo predefinito,Grupo Padrão,Grupo Predeterminado,デフォルトデッキ集,기본 그룹
添加新卡组分组,添加新牌組分組,Add New Deck Group,Ajouter un Groupe de Decks,Neue Deckgruppe hinzufügen,Aggiungi un nuovo gruppo di Deck,Adicionar Novo Grupo de Decks,Añadir Nuevo Grupo de Decks,新規デッキ集グループを作成,새 덱 그룹 추가
该分组已存在！,該分組已存在！,This group already exists!,Ce Groupe existe déjà !,Diese Gruppe existiert bereits!,Questo gruppo è già esistente!,Esse grupo já existe!,¡Este grupo ya existe!,このデッキ集は既に存在しています,이미 존재하는 그룹입니다!
彩色选项为功能选项，白色选项为卡组分组。,彩色選項為功能選項，白色選項為牌組分組。,Colored options are function options; white options are deck groups.,Les Options en Couleur sont des options fonctionnelles; les Options en Blanc sont des Groupes de Decks.,Farbige Optionen sind Funktionsoptionen; weiße Optionen sind Deckgruppen.,Le opzioni colorate rappresentano opzioni di funzione; le opzioni bianche rappresentano i gruppi di Deck.,Opções coloridas são opções de função; opções brancas são grupos de decks.,"Las opciones en color son funciones, las opciones en blanco son Grupos de Decks.",色のオプションは機能オプション、白いオプションはデッキグループ。,"색상 옵션은 기능 메뉴이며, 흰색 옵션은 덱 그룹입니다."
该卡组分类包含[?]个卡组，是否确认删除？,該牌組分類包含[?]個牌組，是否確認刪除？,This deck category contains [?] decks. Are you sure you want to delete it?,Cette catégorie de Decks contient [?] Decks. Êtes-vous sûr de vouloir la supprimer ?,Diese Deckkategorie enthält [?] Decks. Möchten Sie sie wirklich löschen?,Questa categoria di Deck contiene [?] mazzi. Sei sicuro di volerla eliminare?,A categoria deste deck contém [?] decks. Tem certeza que deseja exclui-lo?,"Este grupo de clasificación contiene [?] Decks, ¿confirmar eliminación?",このデッキ集は[?]のデッキが存在します、削除しますか？,이 덱 분류에는 [?]개의 덱이 포함되어 있습니다. 정말 삭제하시겠습니까?
操作失败，目标分组已存在同名卡组：[[?]]。,操作失敗，目標分組已存在同名牌組：[[?]]。,"Operation failed: a deck with the same name already exists in the target group: ""[?]"".","Échec de l'opération : un deck portant le même nom existe déjà dans le groupe cible : ""[?]"".",Vorgang fehlgeschlagen: In der Zielgruppe existiert bereits ein Deck mit demselben Namen: „[?]“.,"Operazione non riuscita: nel gruppo di destinazione esiste già un deck con lo stesso nome: ""[?]"".","Falha na operação: já existe um deck com o mesmo nome no grupo de destino: ""[?]"".","Operación fallida: ya existe un Deck con el mismo nombre en el grupo de destino: ""[?]"".",操作失敗、このデッキ集は[[?]]のデッキが既に存在しています。,작업 실패: 대상 그룹에 동일한 이름의 덱이 이미 존재합니다: [[?]]
#Setting,,,,,,,,,
zh-CN,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文
zh-TW,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文
en-US,English,English,English,English,English,English,English,English,English
fr-FR,Français,Français,Français,Français,Français,Français,Français,Français,Français
de-DE,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch
it-IT,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano
pt-PT,Português,Português,Português,Português,Português,Português,Português,Português,Português
es-ES,Español,Español,Español,Español,Español,Español,Español,Español,Español
ja-JP,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語
ko-KR,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어
系统设置,系統設定,General,Généralités,Allgemein,Generali,Configurações do Sistema,Ajustes Generales,システム,시스템 설정
决斗设置,決鬥設定,Duel,Duel,Duell,Duello,Configurações de Duelo,Ajustes del Duelo,デュエル,듀얼 설정
观战设置,觀戰設定,Spectate,Spectateur,Zuschauen,Spettatore,Configurações de Espectador,Ajustes del Modo Espectador,観戦,관전 설정
回放设置,回放設定,Replay,Replay,Wiederholung,Replay,Configurações de Replay,Ajustes de la Repetición,リプレイ,리플레이 설정
关于游戏,關於遊戲,About the Game,À propos du jeu,Über das Spiel,Informazioni Sul Gioco,Sobre,Acerca del Juego,ソフト情報,게임 정보
#Setting System,,,,,,,,,
音乐音量,音樂音量,Background Music,Musique de fond,Hintergrundmusik,Musica,Volume de Músicas,Música de Fondo,ＢＧＭ,BGM
音效音量,音效音量,Sound Effects,Effets sonores,Soundeffekte,Effetti Sonori,Volume de Efeitos,Efectos de Sonido,効果音,효과음
语音音量,語音音量,Character Voice,Voix du personnage,Charakterstimme,Voce Del Personaggio,Volume de Voz,Voz de los Personajes,ボイス,보이스
显示模式,顯示模式,View Mode,Mode d'affichage,Ansichtsmodus,Modalità Di Visualizzazione,Modo de Exibição,Modo de Visualización,表示モード,표시 모드
独占全屏,獨占全屛,Exclusive Fullscreen,Plein écran exclusif,Exklusiver Vollbildmodus,Schermo Intero Esclusivo,Tela Cheia Exclusiva,Pantalla Completa Exclusiva,フルスクリーン独占化,전체 화면 모드
独占全屏（仅Windows端有效）,獨占全屛（僅Windows端有效）,Exclusive Fullscreen (Windows Only),Plein écran exclusif (Windows uniquement),Exklusiver Vollbildmodus (nur Windows),Schermo Intero Esclusivo (Solo Per Windows),Tela Cheia Exclusiva (Apenas Windows),Pantalla Completa Exclusiva (Solo para Windows),フルスクリーン独占化（画面二分割とWindowsに適用する）,전체 화면 모드 (Windows전용)
窗口全屏,視窗全螢幕,Full Screen Mode,Mode plein écran,Vollbildmodus,Modalità Schermo Intero,Janela em Tela Cheia,Modo Pantalla Completa,スクリーン最大化,화면 최대화
全屏显示,全屏顯示,Display the game in full-screen mode,Affiche l'écran en mode plein écran.,Zeigt den Bildschirm im Vollbild an,Mostra in Modalità A Schermo Intero,Tela Cheia,Visualizar el juego en modo pantalla completa,フルスクリーン,전체 화면
窗口化,視窗化,Window Mode,Mode fenêtré,Fenstermodus,Modalità Finestra,Janela,Modo Ventana,スクリーン窓化,창 모드
窗口化（仅桌面端有效）,視窗化（僅桌面端有效）,Window Mode (PC/Laptop Only),Mode fenêtré (PC/ordinateur portable uniquement),Fenstermodus (nur PC/Laptop),Modalità Finestra (Solo Per PC/Laptop),Janela (Apenas PC/Notebook),Modo Ventana (Solo para PC/Laptop),スクリーン窓化（パソコンやノートに適用する）,창 모드 (PC 전용)
分辨率,解析度,Resolution,Résolution,Auflösung,Risoluzione,Resolução,Resolución,解像度,해상도
设置游戏的渲染分辨率,設置遊戲的渲染分辨率,Set the game's render resolution.,Définir la résolution du jeu,Stellt die Bildschirmauflösung ein,Imposta La Risoluzione Del Gioco,Definir resolução do jogo,Establecer la resolución de pantalla del juego,ゲーム画質やレンダリング解像度,게임 화질이나 렌더링 해상도
渲染倍率,渲染倍率,Resolution Scaling,Échelle de résolution,Skalierung der Auflösung,Ridimensionamento Della Risoluzione,Escala de Renderização,Aumento de Renderizado,レンダリング倍率,렌더링 배율
画面质量,畫面品質,Graphics Quality,Qualité graphique,Grafikqualität,Qualità Grafica,Qualidade Gráfica,Calidad de Gráficos,画質レベル,화질 레벨
非常低,非常低,Very Low,Très bas,Sehr niedrig,Molto Bassa,Muito Baixa,Muy Baja,非常に低い,매우 낮음
低,低,Low,Bas,Niedrig,Bassa,Baixa,Baja,低い,낮음
中等,中等,Medium,Moyenne,Mittel,Media,Média,Media,中,중간
高,高,High,Elevée,Hoch,Alta,Alta,Alta,高い,높음
非常高,非常高,Very High,Très élevée,Sehr hoch,Molto Alta,Muito Alta,Muy Alta,非常高い,매우 높음
极致,極致,Extreme,Extrême,Extrem,Estrema,Ultra,Máxima,最高,최고
前向抗锯齿,前向抗鋸齒,Pre-Processing Anti-Aliasing,Anticrénelage de prétraitement,Anti-Aliasing (Vorverarbeitung),Anti-Aliasing Preliminare,Anti-Aliasing Pré-Processamento,Anti-Aliasing de Pre-Procesamiento,ＭＳＡＡ前処理,MSAA 전처리
关闭,關閉,OFF,OFF,AUS,Chiudi,Desligado,Cerrar,オフ,끄기
后期抗锯齿,後期抗鋸齒,Post-Processing Anti-Aliasing,Anticrénelage post-traitement,Anti-Aliasing (Nachverarbeitung),Anti-Aliasing In Post-Elaborazione,Anti-Aliasing Pós-Processamento,Anti-Aliasing de Post-Procesamiento,ＳＭＡＡ後処理,SMAA 후처리
阴影质量,陰影質量,Shadow Quality,Qualité des ombres,Schattenqualität,Qualità Delle Ombre,Qualidade de Sombras,Calidad de Sombras,シャドウ画質,그림자 화질
帧数限制,幀數限制,FPS Limit,Limite FPS,FPS-Limit,Limite Di FPS,Limite de FPS,Límite de FPS,ＦＰＳ制限,FPS 제한
帧数显示,幀數顯示,FPS Display,Affichage FPS,FPS-Anzeige,Mostra FPS,Exibir FPS,Mostrar FPS,ＦＰＳ表示,FPS 표시
开启或关闭屏幕右上角的帧数显示,開啓或關閉屛幕右上角的幀數顯示,Show or hide the FPS counter in the top-right corner of the screen.,Les FPS s'afficheront en haut à droite de votre écran,FPS wird oben rechts auf dem Bildschirm angezeigt,Il Numero Di Fps Sarà Mostrato Nella Parte Superiore Destra Dello Schermo,O FPS será exibido no canto superior direito da tela,Mostrar u ocultar el contador de FPS en la esquina superior derecha de la pantalla,画面右上のＦＰＳ表示をオン／オフする,화면 오른쪽 위의 FPS 표시를 ON/OFF
震动,震動,Vibration,Vibration,Vibration,Vibrazione,Vibração,Vibración,振動,진동
开启或关闭手柄震动,開啟或關閉手把振動,Turn controller vibration on or off.,Activer ou désactiver la vibration de la manette,Controller-Vibration ein-/ausschalten,Attiva o Disattiva la Vibrazione del Controller,Ligar ou desligar a vibração do controle,Activar o desactivar la vibración del mando,コントロールの振動をオン／オフする,컨트롤 진동 ON/OFF
确认按钮,确認按鈕,Confirm Button,Bouton Confirmer,Bestätigungstaste,Bottone Di Conferma,Botão de Confirmação,Botón de Confirmación,確認ボタン,확인 버튼
设置确认按钮的布局,設置确認按鈕的布局,Confirm Button Layout.,Confirmez la disposition des boutons,Tastenlayout für Bestätigung,Posizione Del Pulsante Di Conferma,Posição do botão,Configurar la Ubicación del Botón de Confirmación,確認ボタンの位置,확인 버튼 위치
左,左,Left,Gauche,Links,Sinistra,Esquerda,A la Izquierda,左,왼쪽
右,右,Right,Droite,Rechts,Destra,Direita,A la Derecha,右,오른쪽
UI布局,UI佈局,User Interface Layout,Disposition de l'interface utilisateur,Benutzeroberflächen-Layout,Ridimensionamento Dell'interfaccia Utente,Layout da UI,Diseño de la Interfaz de Usuario,ＵＩレイアウト,UI 레이아웃
设置UI为适合桌面端的紧凑布局或者移动端的宽大布局,設置UI為適合桌面端的緊湊佈局或者移動端的寬大佈局,Set the UI to a compact desktop layout or a spacious mobile layout.,Réglez l'interface utilisateur sur une mise en page compacte adaptée aux ordinateurs de bureau ou une mise en page spacieuse adaptée aux appareils mobiles,Benutzeroberfläche auf kompakte Desktop-Ansicht oder geräumige Mobile-Ansicht einstellen,Imposta L'interfaccia Compatta per PC o l'Interfaccia Spaziosa per Dispositivi Mobile,Define o melhor Layout de Interface para Compacto (PC) ou Amplo (Mobile),Establecer la interfaz de usuario en diseño compacto para escritorio o diseño ancho para dispositivos móviles,携帯かＰＣに適したＵＩレイアウトに設置する,휴대전화나 PC에 적합한 UI 레이아웃으로 설치
自动判断,自動判斷,Automatic,Automatique,Automatisch,Automatico,Automático,Automático,自動判断,자동 판단
桌面布局,桌面佈局,Desktop Layout,Mise en page Bureau,Desktop-Layout,Interfaccia Desktop,Desktop (PC),Diseño de Escritorio,ＰＣレイアウト,PC 레이아웃
移动布局,移動佈局,Mobile Layout,Mise en page Mobile,Mobile-Layout,Interfaccia Mobile,Mobile,Diseño de Dispositivos Móviles,携帯レイアウト,휴대전화 레이아웃
背景,背景,Background,Arrière-plan,Hintergrund,Sfondo,Plano de Fundo,Fondo,背景,배경
设置游戏中的背景,設定遊戲中的背景,Set the in-game background.,Définir l'arrière-plan dans le jeu,Hintergrund im Spiel einstellen,Imposta lo Sfondo nel Gioco,Alterar fundo do jogo,Establecer el fondo del juego.,メニュー背景絵を変更する,메뉴 배경화면 변경
更换背景,更換背景,Change Background,Changer l'arrière-plan,Hintergrund ändern,Cambia Sfondo,Mudar Fundo,Cambiar Fondo,背景変更,배경 변경
卡图风格,卡圖風格,Card Style,Style de carte,Kartenstil,Stile delle Carte,Estilo dos Cards,Estilo de la Carta,カードスタイル,카드 스타일
更改卡片风格类型,更改卡片風格類型,Change the card style.,Changer le style des cartes,Kartenstil ändern,Cambia Stile delle Carte,Alterar estilo visual,Cambiar el estilo de la carta,カードスタイルを変更する,카드 스타일 변경
